Disease,Disease ID,Disease Acronym
Bardet-Biedl syndrome 8,DI-00166,BBS8
Bardet-Biedl syndrome 9,DI-00167,BBS9
Bare lymphocyte syndrome 1,DI-00170,BLS1
Bare lymphocyte syndrome 2,DI-00171,BLS2
Barrett esophagus,DI-03276,BE
Bart-Pumphrey syndrome,DI-00172,BAPS
Barth syndrome,DI-00005,BTHS
Bartsocas-Papas syndrome,DI-03375,BPS
"Bartter syndrome 1, antenatal",DI-00173,BARTS1
"Bartter syndrome 2, antenatal",DI-00174,BARTS2
Bartter syndrome 3,DI-00175,BARTS3
"Bartter syndrome 4A, neonatal, with sensorineural deafness",DI-00176,BARTS4A
"Bartter syndrome 4B, neonatal, with sensorineural deafness",DI-02554,BARTS4B
"Bartter syndrome 5, antenatal, transient",DI-04715,BARTS5
Basal cell carcinoma,DI-02338,BCC
Basal cell carcinoma 7,DI-03503,BCC7
Basal cell nevus syndrome,DI-00177,BCNS
"Basal ganglia calcification, idiopathic, 1",DI-03407,IBGC1
"Basal ganglia calcification, idiopathic, 4",DI-03665,IBGC4
"Basal ganglia calcification, idiopathic, 5",DI-03923,IBGC5
"Basal ganglia calcification, idiopathic, 6",DI-04453,IBGC6
"Basal ganglia calcification, idiopathic, 7, autosomal recessive",DI-05477,IBGC7
"Basal ganglia calcification, idiopathic, 8, autosomal recessive",DI-05778,IBGC8
Basal laminar drusen,DI-02606,BLD
Basan syndrome,DI-04977,BSNS
Basel-Vanagaite-Smirin-Yosef syndrome,DI-04474,BVSYS
Basilicata-Akhtar syndrome,DI-05649,MRXSBA
Beare-Stevenson cutis gyrata syndrome,DI-01270,BSTVS
Beaulieu-Boycott-Innes syndrome,DI-03901,BBIS
Beck-Fahrner syndrome,DI-05782,BEFAHRS
Becker muscular dystrophy,DI-00178,BMD
Beckwith-Wiedemann syndrome,DI-00179,BWS
Behr syndrome,DI-04690,BEHRS
Benign essential blepharospasm,DI-00180,BEB
Bent bone dysplasia syndrome,DI-03429,BBDS
Bernard-Soulier syndrome,DI-01274,BSS
"Bernard-Soulier syndrome A2, autosomal dominant",DI-01273,BSSA2
"Bestrophinopathy, autosomal recessive",DI-00187,ARB
Beta-thalassemia,DI-01275,B-THAL
"Beta-thalassemia, dominant, inclusion body type",DI-01498,B-THALIB
Beta-ureidopropionase deficiency,DI-01276,UPB1D
Bethlem myopathy 1,DI-00188,BTHLM1
Bethlem myopathy 2,DI-04487,BTHLM2
Beukes familial hip dysplasia,DI-04544,BFHD
Bietti crystalline corneoretinal dystrophy,DI-01280,BCD
"Bifid nose, with or without anorectal and renal anomalies",DI-02627,BNAR
Bilateral optic nerve hypoplasia,DI-01282,BONH
Biotinidase deficiency,DI-00189,BTD deficiency
Birbeck granule deficiency,DI-02857,BIRGD
Birk-Barel mental retardation dysmorphism syndrome,DI-02513,BIBAS
Birk-Landau-Perez syndrome,DI-05046,BILAPES
Birt-Hogg-Dube syndrome,DI-00190,BHD
Bjoernstad syndrome,DI-01285,BJS
Bladder cancer,DI-02612,BLC
"Bladder dysfunction, autonomic, with impaired pupillary reflex and secondary CAKUT",DI-05743,BAIPRCK
Blau syndrome,DI-01286,BLAUS
"Bleeding disorder, platelet-type 11",DI-03257,BDPLT11
"Bleeding disorder, platelet-type 13",DI-03258,BDPLT13
"Bleeding disorder, platelet-type 15",DI-03753,BDPLT15
"Bleeding disorder, platelet-type 16",DI-03752,BDPLT16
"Bleeding disorder, platelet-type 17",DI-04008,BDPLT17
"Bleeding disorder, platelet-type 18",DI-04150,BDPLT18
"Bleeding disorder, platelet-type 19",DI-04294,BDPLT19
"Bleeding disorder, platelet-type 20",DI-04706,BDPLT20
"Bleeding disorder, platelet-type 21",DI-04984,BDPLT21
"Bleeding disorder, platelet-type 22",DI-05589,BDPLT22
"Bleeding disorder, platelet-type 8",DI-02867,BDPLT8
Blepharocheilodontic syndrome 1,DI-05103,BCDS1
Blepharocheilodontic syndrome 2,DI-05104,BCDS2
"Blepharophimosis, ptosis, and epicanthus inversus syndrome",DI-01287,BPES
Bloom syndrome,DI-00191,BLM
Blue cone monochromacy,DI-02866,BCM
Boerjeson-Forssman-Lehmann syndrome,DI-00192,BFLS
Bohring-Opitz syndrome,DI-01304,BOPS
Bone marrow failure syndrome 1,DI-03471,BMFS1
Bone marrow failure syndrome 2,DI-04043,BMFS2
Bone marrow failure syndrome 3,DI-04752,BMFS3
Bone marrow failure syndrome 4,DI-05333,BMFS4
Bone marrow failure syndrome 5,DI-05371,BMFS5
Bone marrow failure syndrome 6,DI-05796,BMFS6
Boomerang dysplasia,DI-01289,BOOMD
Bosch-Boonstra-Schaaf optic atrophy syndrome,DI-04111,BBSOAS
Bosley-Salih-Alorainy syndrome,DI-01290,BSAS
Bosma arhinia microphthalmia syndrome,DI-04955,BAMS
Bothnia retinal dystrophy,DI-00193,BRD
Boucher-Neuhauser syndrome,DI-04065,BNHS
Bowen-Conradi syndrome,DI-02492,BWCNS
"Brachycephaly, trichomegaly, and developmental delay",DI-04991,BTDD
Brachydactyly A1,DI-00194,BDA1
"Brachydactyly A1, C",DI-03654,BDA1C
"Brachydactyly A1, D",DI-04670,BDA1D
Brachydactyly A2,DI-00195,BDA2
Brachydactyly B1,DI-00196,BDB1
Brachydactyly B2,DI-02844,BDB2
Brachydactyly C,DI-00197,BDC
Brachydactyly D,DI-00198,BDD
Brachydactyly E1,DI-00199,BDE1
Brachydactyly E2,DI-02711,BDE2
Brachydactyly-mental retardation syndrome,DI-02923,BDMR
Brachydactyly-syndactyly syndrome,DI-01291,BDSD
Brachydactyly-syndactyly-oligodactyly syndrome,DI-04740,BDSDO
Brachyolmia 3,DI-01292,BCYM3
Brachyolmia type 4 with mild epiphyseal and metaphyseal changes,DI-02331,BCYM4
"Brain abnormalities, neurodegeneration, and dysosteosclerosis",DI-05595,BANDDOS
Brain malformations with or without urinary tract defects,DI-04979,BRMUTD
Brain small vessel disease 1 with or without ocular anomalies,DI-02182,BSVD1
Brain small vessel disease 2,DI-03378,BSVD2
Brain small vessel disease 3,DI-05511,BSVD3
Branched-chain ketoacid dehydrogenase kinase deficiency,DI-03567,BCKDKD
Branchiooculofacial syndrome,DI-01294,BOFS
Branchiootic syndrome 1,DI-01295,BOS1
Branchiootic syndrome 3,DI-01296,BOS3
Branchiootorenal syndrome 1,DI-01297,BOR1
Branchiootorenal syndrome 2,DI-01298,BOR2
Breast cancer,DI-02602,BC
"Breast cancer, lobular",DI-03803,LBC
"Breast-ovarian cancer, familial, 1",DI-01559,BROVCA1
"Breast-ovarian cancer, familial, 2",DI-02603,BROVCA2
"Breast-ovarian cancer, familial, 3",DI-02774,BROVCA3
"Breast-ovarian cancer, familial, 4",DI-03288,BROVCA4
Brittle cornea syndrome 1,DI-00441,BCS1
Brittle cornea syndrome 2,DI-03176,BCS2
Brody myopathy,DI-00200,BRM
Bronchiectasis with or without elevated sweat chloride 1,DI-02489,BESC1
Bronchiectasis with or without elevated sweat chloride 2,DI-02475,BESC2
Bronchiectasis with or without elevated sweat chloride 3,DI-02488,BESC3
Brooke-Spiegler syndrome,DI-00201,BRSS
Brown-Vialetto-Van Laere syndrome 1,DI-02727,BVVLS1
Brown-Vialetto-Van Laere syndrome 2,DI-03494,BVVLS2
Bruck syndrome 1,DI-03760,BRKS1
Bruck syndrome 2,DI-01299,BRKS2
Brugada syndrome 1,DI-00202,BRGDA1
Brugada syndrome 2,DI-00203,BRGDA2
Brugada syndrome 3,DI-00204,BRGDA3
Brugada syndrome 4,DI-00205,BRGDA4
Brugada syndrome 5,DI-02502,BRGDA5
Brugada syndrome 6,DI-02501,BRGDA6
Brugada syndrome 7,DI-02503,BRGDA7
Brugada syndrome 8,DI-02557,BRGDA8
Brugada syndrome 9,DI-04444,BRGDA9
Brunner syndrome,DI-00206,BRNRS
Budd-Chiari syndrome,DI-01300,BDCHS
Bulimia nervosa 2,DI-04567,BULN2
Burkitt lymphoma,DI-02613,BL
Burn-McKeown syndrome,DI-04322,BMKS
Buschke-Ollendorff syndrome,DI-01301,BOS
Butyrylcholinesterase deficiency,DI-01302,BCHED
C syndrome,DI-01303,CSYN
Caffey disease,DI-01310,CAFYD
Calcification of joints and arteries,DI-03016,CALJA
Calvarial doughnut lesions with bone fragility,DI-05600,CDL
Calvarial doughnut lesions with bone fragility and spondylometaphyseal dysplasia,DI-05601,CDLSMD
Campomelic dysplasia,DI-01311,CMD1
"Camptodactyly, tall stature, and hearing loss syndrome",DI-01312,CATSHLS
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,DI-01313,CACP
"Camptosynpolydactyly, complex",DI-04787,CCSPD
Camurati-Engelmann disease,DI-01314,CAEND
Canavan disease,DI-00208,CAND
"Cancer, alopecia, pigment dyscrasia, onychodystrophy, and keratoderma",DI-05518,CAPOK
"Candidiasis, familial, 2",DI-02578,CANDF2
"Candidiasis, familial, 4",DI-02808,CANDF4
"Candidiasis, familial, 6",DI-03125,CANDF6
"Candidiasis, familial, 8",DI-03950,CANDF8
"Candidiasis, familial, 9",DI-04473,CANDF9
Cap myopathy 1,DI-03838,CAPM1
Cap myopathy 2,DI-03839,CAPM2
Capillary malformation-arteriovenous malformation 1,DI-01315,CMAVM1
Capillary malformation-arteriovenous malformation 2,DI-05392,CMAVM2
"Capillary malformations, congenital",DI-03786,CMC
Carbamoyl phosphate synthetase 1 deficiency,DI-00209,CPS1D
Carboxypeptidase N deficiency,DI-01316,CPND
Cardiac conduction disease with or without dilated cardiomyopathy,DI-04282,CCDD
"Cardiac valvular defect, developmental",DI-05005,CVDD
"Cardiac valvular dysplasia, X-linked",DI-02915,CVD1
"Cardiac, facial, and digital anomalies with developmental delay",DI-05370,CAFDADD
Cardiac-urogenital syndrome,DI-05461,CUGS
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1",DI-01608,CEMCOX1
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2",DI-03707,CEMCOX2
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3",DI-04506,CEMCOX3
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4",DI-04507,CEMCOX4
Cardiofaciocutaneous syndrome 1,DI-01318,CFC1
Cardiofaciocutaneous syndrome 2,DI-03779,CFC2
Cardiofaciocutaneous syndrome 3,DI-03780,CFC3
Cardiofaciocutaneous syndrome 4,DI-03781,CFC4
"Cardiomyopathy, dilated 1A",DI-00210,CMD1A
"Cardiomyopathy, dilated 1AA, with or without left ventricular non-compaction",DI-00211,CMD1AA
"Cardiomyopathy, dilated 1BB",DI-02483,CMD1BB
"Cardiomyopathy, dilated 1C, with or without left ventricular non-compaction",DI-00212,CMD1C
"Cardiomyopathy, dilated 1CC",DI-02530,CMD1CC
"Cardiomyopathy, dilated 1D",DI-00213,CMD1D
"Cardiomyopathy, dilated 1DD",DI-02568,CMD1DD
"Cardiomyopathy, dilated 1E",DI-00214,CMD1E
"Cardiomyopathy, dilated 1EE",DI-02682,CMD1EE
"Cardiomyopathy, dilated 1FF",DI-02681,CMD1FF
"Cardiomyopathy, dilated 1G",DI-00215,CMD1G
"Cardiomyopathy, dilated 1GG",DI-02945,CMD1GG
"Cardiomyopathy, dilated 1HH",DI-03042,CMD1HH
"Cardiomyopathy, dilated 1I",DI-00216,CMD1I
"Cardiomyopathy, dilated 1II",DI-03750,CMD1II
"Cardiomyopathy, dilated 1J",DI-00217,CMD1J
"Cardiomyopathy, dilated 1JJ",DI-03729,CMD1JJ
"Cardiomyopathy, dilated 1KK",DI-03730,CMD1KK
"Cardiomyopathy, dilated 1L",DI-00218,CMD1L
"Cardiomyopathy, dilated 1LL",DI-03860,CMD1LL
"Cardiomyopathy, dilated 1M",DI-00219,CMD1M
"Cardiomyopathy, dilated 1MM",DI-03872,CMD1MM
"Cardiomyopathy, dilated 1NN",DI-04172,CMD1NN
"Cardiomyopathy, dilated 1O",DI-00221,CMD1O
"Cardiomyopathy, dilated 1P",DI-00222,CMD1P
"Cardiomyopathy, dilated 1R",DI-00223,CMD1R
"Cardiomyopathy, dilated 1S",DI-00224,CMD1S
"Cardiomyopathy, dilated 1U",DI-02967,CMD1U
"Cardiomyopathy, dilated 1V",DI-02968,CMD1V
"Cardiomyopathy, dilated 1W",DI-00225,CMD1W
"Cardiomyopathy, dilated 1X",DI-00227,CMD1X
"Cardiomyopathy, dilated 1Y",DI-00226,CMD1Y
"Cardiomyopathy, dilated 1Z",DI-00228,CMD1Z
"Cardiomyopathy, dilated 2A",DI-00229,CMD2A
"Cardiomyopathy, dilated 2B",DI-03469,CMD2B
"Cardiomyopathy, dilated 2C",DI-05389,CMD2C
"Cardiomyopathy, dilated, with hypergonadotropic hypogonadism",DI-02906,CMDHH
"Cardiomyopathy, dilated, with woolly hair and keratoderma",DI-00230,DCWHK
"Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis",DI-04267,DCWHKTA
"Cardiomyopathy, dilated, X-linked 3B",DI-00231,CMD3B
"Cardiomyopathy, familial hypertrophic",DI-00232,CMH
"Cardiomyopathy, familial hypertrophic 1",DI-00233,CMH1
"Cardiomyopathy, familial hypertrophic 10",DI-00240,CMH10
"Cardiomyopathy, familial hypertrophic 11",DI-00241,CMH11
"Cardiomyopathy, familial hypertrophic 12",DI-00242,CMH12
"Cardiomyopathy, familial hypertrophic 13",DI-02553,CMH13
"Cardiomyopathy, familial hypertrophic 14",DI-02680,CMH14
"Cardiomyopathy, familial hypertrophic 15",DI-02679,CMH15
"Cardiomyopathy, familial hypertrophic 16",DI-03037,CMH16
"Cardiomyopathy, familial hypertrophic 17",DI-03038,CMH17
"Cardiomyopathy, familial hypertrophic 18",DI-03039,CMH18
"Cardiomyopathy, familial hypertrophic 2",DI-00234,CMH2
"Cardiomyopathy, familial hypertrophic 20",DI-03041,CMH20
"Cardiomyopathy, familial hypertrophic 22",DI-03731,CMH22
"Cardiomyopathy, familial hypertrophic 23, with or without left ventricular non-compaction",DI-04440,CMH23
"Cardiomyopathy, familial hypertrophic 24",DI-04407,CMH24
"Cardiomyopathy, familial hypertrophic 25",DI-00220,CMH25
"Cardiomyopathy, familial hypertrophic 26",DI-04771,CMH26
"Cardiomyopathy, familial hypertrophic 27",DI-05290,CMH27
"Cardiomyopathy, familial hypertrophic 3",DI-00235,CMH3
"Cardiomyopathy, familial hypertrophic 4",DI-00236,CMH4
"Cardiomyopathy, familial hypertrophic 6",DI-00245,CMH6
"Cardiomyopathy, familial hypertrophic 7",DI-00237,CMH7
"Cardiomyopathy, familial hypertrophic 8",DI-00238,CMH8
"Cardiomyopathy, familial hypertrophic 9",DI-00239,CMH9
"Cardiomyopathy, familial restrictive 1",DI-00246,RCM1
"Cardiomyopathy, familial restrictive 3",DI-00247,RCM3
"Cardiomyopathy, familial restrictive 4",DI-03732,RCM4
"Cardiomyopathy, familial restrictive 5",DI-04772,RCM5
"Cardiomyopathy, infantile histiocytoid",DI-00248,CMIH
"Cardiomyopathy, infantile hypertrophic",DI-04888,CMHI
Cardiospondylocarpofacial syndrome,DI-04853,CSCF
Carey-Fineman-Ziter syndrome,DI-05049,CFZS
Carney complex 1,DI-01319,CNC1
Carney complex variant,DI-01320,CACOV
Carnitine palmitoyltransferase 1A deficiency,DI-01321,CPT1AD
"Carnitine palmitoyltransferase 2 deficiency, infantile",DI-03089,CPT2DI
"Carnitine palmitoyltransferase 2 deficiency, lethal neonatal",DI-01323,CPT2DLN
"Carnitine palmitoyltransferase 2 deficiency, myopathic, stress-induced",DI-01322,CPT2D
Carnitine-acylcarnitine translocase deficiency,DI-01324,CACTD
Carpal tunnel syndrome 1,DI-02811,CTS1
Carpenter syndrome 1,DI-01325,CRPT1
Carpenter syndrome 2,DI-03635,CRPT2
Caspase-8 deficiency,DI-01326,CASP8D
"Cataract 1, multiple types",DI-02470,CTRCT1
"Cataract 10, multiple types",DI-01423,CTRCT10
"Cataract 11, multiple types",DI-02184,CTRCT11
"Cataract 12, multiple types",DI-01215,CTRCT12
"Cataract 13, with adult i phenotype",DI-03830,CTRCT13
"Cataract 14, multiple types",DI-02471,CTRCT14
"Cataract 15, multiple types",DI-03782,CTRCT15
"Cataract 16, multiple types",DI-02998,CTRCT16
"Cataract 17, multiple types",DI-01234,CTRCT17
Cataract 18,DI-03191,CTRCT18
"Cataract 2, multiple types",DI-01425,CTRCT2
"Cataract 20, multiple types",DI-03776,CTRCT20
"Cataract 21, multiple types",DI-01394,CTRCT21
"Cataract 22, multiple types",DI-01233,CTRCT22
"Cataract 23, multiple types",DI-01874,CTRCT23
"Cataract 3, multiple types",DI-01392,CTRCT3
"Cataract 30, multiple types",DI-03825,CTRCT30
"Cataract 31, multiple types",DI-02183,CTRCT31
"Cataract 33, multiple types",DI-01235,CTRCT33
"Cataract 34, multiple types",DI-04893,CTRCT34
Cataract 36,DI-03070,CTRCT36
Cataract 38,DI-03473,CTRCT38
"Cataract 39, multiple types",DI-03806,CTRCT39
"Cataract 4, multiple types",DI-01456,CTRCT4
Cataract 40,DI-02922,CTRCT40
Cataract 41,DI-04010,CTRCT41
Cataract 42,DI-04171,CTRCT42
Cataract 43,DI-04361,CTRCT43
Cataract 44,DI-04502,CTRCT44
Cataract 45,DI-04671,CTRCT45
"Cataract 46, juvenile-onset, with or without arrhythmic cardiomyopathy",DI-04739,CTRCT46
Cataract 47,DI-01327,CTRCT47
Cataract 48,DI-05553,CTRCT48
"Cataract 5, multiple types",DI-02507,CTRCT5
"Cataract 6, multiple types",DI-02506,CTRCT6
"Cataract 9, multiple types",DI-01200,CTRCT9
"Cataract, multiple types 19",DI-03783,CTRCT19
"Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",DI-04264,CAGSSS
Catel-Manzke syndrome,DI-04301,CATMANS
CATIFA syndrome,DI-05742,CATIFA
Caudal duplication anomaly,DI-02877,CADUA
Cavitary optic disc anomalies,DI-04537,CODA
"CD8 deficiency, familial",DI-01560,CD8 deficiency
CEBALID syndrome,DI-05758,CEBALID
Celiac disease 13,DI-02885,CELIAC13
Celiac disease 3,DI-02883,CELIAC3
Celiac disease 4,DI-02884,CELIAC4
Cenani-Lenz syndactyly syndrome,DI-02834,CLSS
Central core disease of muscle,DI-01331,CCD
"Cerebellar ataxia, areflexia, pes cavus, optic atrophy, and sensorineural hearing loss",DI-04236,CAPOS
"Cerebellar ataxia, cayman type",DI-01333,ATCAY
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant",DI-03793,ADCADN
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1",DI-02742,CAMRQ1
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2",DI-03450,CAMRQ2
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3",DI-02743,CMARQ3
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4",DI-03773,CMARQ4
"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome",DI-05548,CANVAS
"Cerebellar ataxia, non-progressive, with mental retardation",DI-03530,CANPMR
Cerebellar atrophy with seizures and variable developmental delay,DI-05616,CASVDD
"Cerebellar atrophy, developmental delay, and seizures",DI-05076,CADEDS
"Cerebellar atrophy, visual impairment, and psychomotor retardation",DI-04673,CAVIPMR
"Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay",DI-05744,CHEGDD
"Cerebellar, ocular, craniofacial, and genital syndrome",DI-05597,COFG
Cerebellofaciodental syndrome,DI-04315,CFDS
"Cerebral amyloid angiopathy, APP-related",DI-00097,CAA-APP
"Cerebral amyloid angiopathy, ITM2B-related 1",DI-02619,CAA-ITM2B1
"Cerebral amyloid angiopathy, ITM2B-related 2",DI-02617,CAA-ITM2B2
"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, 1",DI-01334,CADASIL1
"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, 2",DI-04641,CADASIL2
"Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy",DI-02549,CARASIL
Cerebral cavernous malformations 1,DI-00255,CCM1
Cerebral cavernous malformations 2,DI-00256,CCM2
Cerebral cavernous malformations 3,DI-00257,CCM3
Cerebral creatine deficiency syndrome 1,DI-02440,CCDS1
Cerebral creatine deficiency syndrome 2,DI-01690,CCDS2
Cerebral creatine deficiency syndrome 3,DI-01189,CCDS3
"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",DI-00251,CEDNIK
"Cerebral palsy, spastic quadriplegic 1",DI-01261,CPSQ1
"Cerebral palsy, spastic quadriplegic 2",DI-02559,CPSQ2
"Cerebral palsy, spastic quadriplegic 3",DI-04750,CPSQ3
Cerebro-oculo-facio-skeletal syndrome 1,DI-00258,COFS1
Cerebro-oculo-facio-skeletal syndrome 2,DI-00259,COFS2
Cerebro-oculo-facio-skeletal syndrome 3,DI-04514,COFS3
Cerebro-oculo-facio-skeletal syndrome 4,DI-00260,COFS4
Cerebrocostomandibular syndrome,DI-04367,CCMS
Cerebroretinal microangiopathy with calcifications and cysts 1,DI-03394,CRMCC1
Cerebroretinal microangiopathy with calcifications and cysts 2,DI-04949,CRMCC2
Cerebrotendinous xanthomatosis,DI-01335,CTX
"Ceroid lipofuscinosis, neuronal, 1",DI-00810,CLN1
"Ceroid lipofuscinosis, neuronal, 10",DI-00818,CLN10
"Ceroid lipofuscinosis, neuronal, 11",DI-03493,CLN11
"Ceroid lipofuscinosis, neuronal, 13",DI-03853,CLN13
"Ceroid lipofuscinosis, neuronal, 2",DI-00811,CLN2
"Ceroid lipofuscinosis, neuronal, 3",DI-00812,CLN3
"Ceroid lipofuscinosis, neuronal, 4A",DI-03163,CLN4A
"Ceroid lipofuscinosis, neuronal, 4B",DI-03226,CLN4B
"Ceroid lipofuscinosis, neuronal, 5",DI-00813,CLN5
"Ceroid lipofuscinosis, neuronal, 6",DI-00814,CLN6
"Ceroid lipofuscinosis, neuronal, 7",DI-00815,CLN7
"Ceroid lipofuscinosis, neuronal, 8",DI-00816,CLN8
"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant",DI-00817,CLN8NE
Cervical cancer,DI-02838,CERCA
CFHR5 deficiency,DI-03555,CFHR5D
Chanarin-Dorfman syndrome,DI-00262,CDS
CHAND syndrome,DI-05366,CHANDS
Char syndrome,DI-00294,CHAR
Charcot-Marie-Tooth disease 1A,DI-00268,CMT1A
Charcot-Marie-Tooth disease 1B,DI-00269,CMT1B
Charcot-Marie-Tooth disease 1C,DI-00270,CMT1C
Charcot-Marie-Tooth disease 1D,DI-00271,CMT1D
Charcot-Marie-Tooth disease 1E,DI-00272,CMT1E
Charcot-Marie-Tooth disease 1F,DI-00273,CMT1F
Charcot-Marie-Tooth disease 2A1,DI-00274,CMT2A1
Charcot-Marie-Tooth disease 2A2A,DI-00275,CMT2A2A
Charcot-Marie-Tooth disease 2A2B,DI-04811,CMT2A2B
Charcot-Marie-Tooth disease 2B,DI-00276,CMT2B
Charcot-Marie-Tooth disease 2B1,DI-00277,CMT2B1
Charcot-Marie-Tooth disease 2B2,DI-02671,CMT2B2
Charcot-Marie-Tooth disease 2C,DI-02687,CMT2C
Charcot-Marie-Tooth disease 2CC,DI-04709,CMT2CC
Charcot-Marie-Tooth disease 2D,DI-00278,CMT2D
Charcot-Marie-Tooth disease 2DD,DI-05276,CMT2DD
Charcot-Marie-Tooth disease 2E,DI-00279,CMT2E
Charcot-Marie-Tooth disease 2F,DI-00280,CMT2F
Charcot-Marie-Tooth disease 2I,DI-00281,CMT2I
Charcot-Marie-Tooth disease 2J,DI-00282,CMT2J
Charcot-Marie-Tooth disease 2K,DI-00283,CMT2K
Charcot-Marie-Tooth disease 2L,DI-00284,CMT2L
Charcot-Marie-Tooth disease 2M,DI-03481,CMT2M
Charcot-Marie-Tooth disease 2N,DI-02678,CMT2N
Charcot-Marie-Tooth disease 2O,DI-03264,CMT2O
